country,birth_rt,fertility_rt,infant_mortality_rt,life_expectancy,physicians_per_thousand,lat,long,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,continent,covid_cases,covid_deaths,average_population
Turkey,16.03,2.07,9.1,77.4,1.85,38.963745,35.243322,754.4117,93.2,23.9,17.9,13.49,Asia,494351.0,13558.0,84077912
Turkmenistan,23.83,2.79,39.3,68.1,2.22,38.969719,59.556278,40.7611,88.4,8.0,14.9,3.91,Asia,0.0,0.0,6005666
Tuvalu,22.0,2.78,20.6,69.0,0.92,-7.109535,177.64933,0.0473,86.0,91.3,18.5,11.0,Oceana,0.0,0.0,11750
Uganda,38.14,4.96,33.8,63.0,0.17,1.373333,32.290275,34.3872,102.7,4.8,11.7,1.84,Africa,20459.0,205.0,45323336
Ukraine,8.7,1.3,7.5,71.6,2.99,48.379433,31.16558,153.7811,99.0,82.7,20.1,8.88,Europe,732625.0,12327.0,44004808
United Arab Emirates,10.33,1.41,6.5,77.8,2.53,23.424076,53.847818,421.1423,108.4,36.8,0.1,2.35,Asia,168860.0,572.0,9855999
United Kingdom,11.0,1.68,3.6,81.3,2.81,55.378051,-3.435973,2827.1132,101.2,60.0,25.5,3.85,Europe,0.0,0.0,67435630
United States,11.6,1.73,5.6,78.5,2.61,37.09024,-95.712891,21427.7,101.8,88.2,9.6,14.7,North America,0.0,0.0,330032268
Uruguay,13.86,1.97,6.4,77.8,5.05,-32.522779,-55.765835,56.0459,108.5,63.1,20.1,8.73,South America,5716.0,76.0,3470272
Uzbekistan,23.3,2.42,19.1,71.6,2.37,41.377491,64.585262,57.9213,104.2,10.1,14.8,5.92,Asia,72920.0,608.0,33628940
Vanuatu,29.6,3.78,22.3,70.3,0.17,-15.376706,166.959158,0.9171,109.3,4.7,17.8,4.39,Oceana,1.0,0.0,305074
Venezuela,17.88,2.27,21.4,72.1,1.92,6.42375,-66.58973,482.3593,97.2,79.3,5.96,8.8,South America,0.0,0.0,28459050
Vietnam,16.75,2.05,16.5,75.3,0.82,14.058324,108.277199,261.9212,110.6,28.5,19.1,2.01,Asia,0.0,0.0,97082436
Yemen,30.45,3.79,42.9,66.1,0.31,15.552727,48.516388,26.9144,93.6,10.2,9.58,12.91,Asia,2081.0,606.0,29636402
Zambia,36.19,4.63,40.4,63.5,1.19,-13.133897,27.849332,23.0647,98.7,4.1,16.2,11.43,Africa,17647.0,357.0,18235182
Zimbabwe,30.68,3.62,33.9,61.2,0.21,-19.015438,29.154857,21.4408,109.9,10.0,20.7,4.95,Africa,10034.0,277.0,14800590
