country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,country_edited,continent,covid_cases,covid_deaths,total_area_km2,average_population
Saint Lucia,12.0,XCD,1.44,14.9,76.1,English,0.64,13.909444,-60.978893,17.4,616.0,110.13,2.1225,102.6,14.1,18.2,20.71,Saint Lucia,North America,257,2,617,183386
Saint Vincent and the Grenadines,14.24,XCD,1.89,14.8,72.4,English,0.66,12.984305,-61.287228,25.6,389.0,109.67,0.8254,113.4,23.7,25.4,18.88,Saint Vincent and the Grenadines,North America,0,0,389,105772
Samoa,24.38,WST,3.88,13.6,73.2,Samoan,0.34,-13.759029,-172.104629,12.4,2831.0,117.56,0.8507,110.5,7.6,25.5,8.36,Samoa,Oceana,0,0,2842,200739
San Marino,6.8,EUR,1.26,1.7,85.4,Italian,6.11,43.94236,12.457777,16.7,61.0,110.63,1.6379,108.1,42.5,18.1,,San Marino,Europe,1609,45,61,33910
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,31.54,STN,4.32,24.4,70.2,,0.05,,,50.7,964.0,185.09,0.429,106.8,13.4,14.6,13.37,Sao Tome and Principe,Africa,991,17,1001,217985
Saudi Arabia,17.8,SAR,2.32,6.0,75.0,Arabic,2.61,23.885942,45.079162,80.8,2149690.0,118.4,792.9668,99.8,68.0,8.9,5.93,Saudi Arabia,Asia,357360,5896,2150000,34657576
Senegal,34.52,XOF,4.63,31.8,67.7,French,0.07,14.497401,-14.452362,46.1,196722.0,109.25,23.5781,81.0,12.8,16.3,6.6,Senegal,Africa,16089,333,196722,16616426
Serbia,9.2,RSD,1.49,4.8,75.5,Serbian,3.11,44.016521,21.005859,39.3,77474.0,144.0,51.4092,100.3,67.2,18.6,12.69,Serbia,Europe,169214,1549,88361,7833836
Seychelles,17.1,SCR,2.41,12.4,72.8,French,0.95,-4.679574,55.491977,3.4,455.0,129.96,1.6988,100.4,17.1,34.1,,Seychelles,Africa,172,0,458,98115
Sierra Leone,33.41,SLL,4.26,78.5,54.3,English,0.03,8.460555,-11.779889,54.7,71740.0,234.16,3.9415,112.8,2.0,8.6,4.43,Sierra Leone,Africa,2412,74,71740,7930173
Singapore,8.8,SGD,1.14,2.3,83.1,Malay,2.29,1.352083,103.819836,0.9,716.0,114.41,372.0625,100.6,84.8,13.1,4.11,Singapore,Asia,58218,29,726,5786719
Slovakia,10.6,EUR,1.52,4.6,77.2,Slovak,3.42,48.669026,19.699024,39.2,49035.0,115.34,105.4223,98.7,46.6,18.7,5.56,Slovakia,Europe,105733,816,49035,5457412
Slovenia,9.4,EUR,1.6,1.7,81.0,Slovene language,3.09,46.151241,14.995463,30.7,20273.0,111.05,53.7422,100.4,78.6,18.6,4.2,Slovenia,Europe,75381,927,20271,2083502
Solomon Islands,32.44,SBD,4.4,17.1,72.8,English,0.19,-9.64571,160.156194,3.9,28896.0,133.06,1.4251,106.2,,29.5,0.58,Solomon Islands,Oceana,17,0,28400,682020
Somalia,41.75,SOS,6.07,76.6,57.1,Arabic,0.02,5.152149,46.199616,70.3,637657.0,,4.7207,23.4,2.5,0.0,11.35,Somalia,Africa,4451,113,637657,15765082
South Africa,20.51,ZAR,2.41,28.5,63.9,Afrikaans,0.91,-30.559482,22.937506,79.8,1219090.0,158.93,351.4316,100.9,22.4,27.5,28.18,South Africa,Africa,790004,21535,12199912,59093330
South Sudan,35.01,SSP,4.7,63.7,57.6,English,,6.8769919,31.3069788,,644329.0,4583.71,11.9978,73.0,,,12.24,South Sudan,Africa,3109,61,619745,11155937
Spain,7.9,EUR,1.26,2.5,83.3,Spanish,3.87,40.463667,-3.74922,52.6,505370.0,110.96,1394.1163,102.7,88.9,14.2,13.96,Spain,Europe,1628208,44668,505990,46919581
Sri Lanka,15.83,LKR,2.2,6.4,76.8,Tamil,1.0,7.873054,80.771797,43.7,65610.0,155.53,84.0088,100.2,19.6,11.9,4.2,Sri Lanka,Asia,23484,116,65610,21627078
Sudan,32.18,SDG,4.41,42.1,65.1,Arabic,0.26,12.862807,30.217636,28.7,1861484.0,1344.19,18.9023,76.8,16.9,8.0,16.53,Sudan,Africa,17810,1249,1886068,43553714
Suriname,18.54,SRD,2.42,16.9,71.6,Dutch,1.21,3.919305,-56.027783,0.6,163820.0,294.66,3.9853,108.8,12.6,19.5,7.33,Suriname,South America,5312,117,163821,585120
Sweden,11.4,SEK,1.76,2.2,82.5,Swedish,3.98,60.128161,18.643501,7.4,450295.0,110.51,530.8329,126.6,67.0,27.9,6.48,Sweden,Europe,243129,6681,450295,10205698
Switzerland,10.0,CHF,1.52,3.7,83.6,German,4.3,46.818188,8.227512,38.4,41277.0,99.55,703.0824,105.2,59.6,10.1,4.58,Switzerland,Europe,317017,4236,41285,8628155
Syria,23.69,SYP,2.81,14.0,71.8,Arabic,1.22,34.802075,38.996815,75.8,185180.0,143.2,40.405,81.7,40.1,14.2,8.37,Syria,Asia,0,0,185180,17377940
Tajikistan,30.76,TJS,3.59,30.4,70.9,Persian,1.7,38.861034,71.276093,34.1,144100.0,148.57,8.1166,100.9,31.3,9.8,11.02,Tajikistan,Asia,12155,86,143100,9475834
Tanzania,36.7,TZS,4.89,37.6,65.0,Swahili,0.01,-6.369028,34.888822,44.8,947300.0,187.43,63.1771,94.2,4.0,11.5,1.98,Tanzania,Africa,0,0,945087,59242640
Thailand,10.34,THB,1.53,7.8,76.9,Thai,0.81,15.870032,100.992541,43.3,513120.0,113.27,543.65,99.8,49.3,14.9,0.75,Thailand,Asia,3998,60,513120,69749678
Togo,33.11,XOF,4.32,47.4,60.8,French,0.08,8.619543,0.824782,70.2,56785.0,113.3,5.46,123.8,14.5,16.9,2.04,Togo,Africa,2946,64,56785,8222729
Tonga,24.3,TOP,3.56,13.4,70.8,Tongan Language,0.52,-21.178986,-175.198242,45.8,747.0,121.09,0.4504,116.3,6.4,22.3,1.12,Tonga,Oceana,0,0,747,103208
Trinidad and Tobago,12.94,TTD,1.73,16.4,73.4,English,4.17,10.691803,-61.222503,10.5,5128.0,141.75,24.1002,106.2,12.0,19.5,2.69,Trinidad and Tobago,North America,0,0,0,697486
Tunisia,17.56,TND,2.2,14.6,76.5,Arabic,1.3,33.886917,9.537499,64.8,163610.0,155.33,38.7977,115.4,31.7,21.1,16.02,Tunisia,Africa,96769,3260,0,5847360
Turkey,16.03,TRY,2.07,9.1,77.4,Turkish,1.85,38.963745,35.243322,49.8,783562.0,234.44,754.4117,93.2,23.9,17.9,13.49,Turkey,Asia,494351,13558,783562,84077912
Turkmenistan,23.83,TMT,2.79,39.3,68.1,Turkmen,2.22,38.969719,59.556278,72.0,488100.0,,40.7611,88.4,8.0,,3.91,Turkmenistan,Asia,0,0,491210,6005666
Tuvalu,,AUD,,20.6,,Tuvaluan Language,0.92,-7.109535,177.64933,60.0,26.0,,0.0473,86.0,,,,Tuvalu,Oceana,0,0,26,11750
Uganda,38.14,UGX,4.96,33.8,63.0,Swahili,0.17,1.373333,32.290275,71.9,241038.0,173.87,34.3872,102.7,4.8,11.7,1.84,Uganda,Africa,20459,205,241037,45323336
Ukraine,8.7,UAH,1.3,7.5,71.6,Ukrainian,2.99,48.379433,31.16558,71.7,603550.0,281.66,153.7811,99.0,82.7,20.1,8.88,Ukraine,Europe,732625,12327,603628,44004808
United Arab Emirates,10.33,AED,1.41,6.5,77.8,Arabic,2.53,23.424076,53.847818,5.5,83600.0,114.52,421.1423,108.4,36.8,0.1,2.35,United Arab Emirates,Asia,168860,572,83600,9855999
United Kingdom,11.0,GBP,1.68,3.6,81.3,English,2.81,55.378051,-3.435973,71.7,243610.0,119.62,2827.1132,101.2,60.0,25.5,3.85,United Kingdom,Europe,0,0,242495,67435630
United States,11.6,USD,1.73,5.6,78.5,,2.61,37.09024,-95.712891,44.4,9833517.0,117.24,21427.7,101.8,88.2,9.6,14.7,United States,North America,0,0,9834000,330032268
Uruguay,13.86,UYU,1.97,6.4,77.8,Spanish,5.05,-32.522779,-55.765835,82.6,176215.0,202.92,56.0459,108.5,63.1,20.1,8.73,Uruguay,South America,5716,76,176215,3470272
Uzbekistan,23.3,UZS,2.42,19.1,71.6,Uzbek,2.37,41.377491,64.585262,62.9,447400.0,,57.9213,104.2,10.1,14.8,5.92,Uzbekistan,Asia,72920,608,448978,33628940
Vanuatu,29.6,VUV,3.78,22.3,70.3,French,0.17,-15.376706,166.959158,15.3,12189.0,117.13,0.9171,109.3,4.7,17.8,4.39,Vanuatu,Oceana,1,0,12189,305074
Venezuela,17.88,VED,2.27,21.4,72.1,Spanish,1.92,6.42375,-66.58973,24.5,912050.0,2740.27,482.3593,97.2,79.3,,8.8,Venezuela,South America,0,0,916445,28459050
Vietnam,16.75,VND,2.05,16.5,75.3,Vietnamese,0.82,14.058324,108.277199,39.3,331210.0,163.52,261.9212,110.6,28.5,19.1,2.01,Vietnam,Asia,0,0,331212,97082436
Yemen,30.45,YER,3.79,42.9,66.1,Arabic,0.31,15.552727,48.516388,44.6,527968.0,157.58,26.9144,93.6,10.2,,12.91,Yemen,Asia,2081,606,527968,29636402
Zambia,36.19,ZMW,4.63,40.4,63.5,English,1.19,-13.133897,27.849332,32.1,752618.0,212.31,23.0647,98.7,4.1,16.2,11.43,Zambia,Africa,17647,357,752618,18235182
Zimbabwe,30.68,,3.62,33.9,61.2,Shona,0.21,-19.015438,29.154857,41.9,390757.0,105.51,21.4408,109.9,10.0,20.7,4.95,Zimbabwe,Africa,10034,277,390757,14800590
