country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,country_edited,continent,covid_cases,covid_deaths,total_area_km2,average_population
Cameroon,35.39,XAF,4.57,50.6,58.9,French,0.09,7.369722,12.354722,20.6,475440.0,118.65,38.7605,103.4,12.8,12.8,3.38,Cameroon,Africa,24487,441,475442,26354128
Canada,10.1,CAD,1.5,4.3,81.9,French,2.61,56.130366,-106.346771,6.9,9984670.0,116.76,1736.4256,100.9,68.9,12.8,5.56,Canada,North America,370278,12032,9984670,37436962
Central African Republic,35.35,,4.72,84.5,52.8,French,0.06,6.611111,20.939444,8.2,622984.0,186.86,2.2203,102.0,3.0,8.6,3.68,Central African Republic,Africa,4918,63,622984,4805444
Chad,42.17,XAF,5.75,71.4,54.0,French,0.04,15.454166,18.732207,39.7,1284000.0,117.7,11.315,86.8,3.3,,1.89,Chad,Africa,1688,101,1284000,16288987
Chile,12.43,CLP,1.65,6.2,80.0,Spanish,2.59,-35.675147,-71.542969,21.2,756096.0,131.91,282.3182,101.4,88.5,18.2,7.09,Chile,South America,551743,15410,756950,19068771
China,10.9,CNY,1.69,7.4,77.0,Standard Chinese,1.98,35.86166,104.195397,56.2,9596960.0,125.08,19910.0,100.2,50.6,9.4,4.32,China,Asia,93577,4750,9600000,1419684895
Colombia,14.88,COP,1.81,12.2,77.1,Spanish,2.18,4.570868,-74.297333,40.3,1138910.0,140.95,323.8028,114.5,55.3,14.4,9.71,Colombia,South America,1308376,36584,1138910,50726056
Comoros,31.88,KMF,4.21,51.3,64.1,French,0.27,-11.6455,43.3333,71.5,2235.0,103.62,1.1857,99.5,9.0,,4.34,Comoros,Africa,611,7,1861,864231
Costa Rica,13.97,CRC,1.75,7.6,80.1,Spanish,2.89,9.748917,-83.753428,34.5,51100.0,128.85,61.7739,113.3,55.2,13.6,11.85,Costa Rica,North America,137093,1690,51100,5080672
Croatia,9.0,HRK,1.47,4.0,78.1,Croatian,3.0,45.1,15.2,27.6,56594.0,109.82,60.4156,96.5,67.9,22.0,6.93,Croatia,Europe,126612,1712,56594,4081118
Cuba,10.17,CUP,1.62,3.7,78.7,Spanish,8.42,21.521757,-77.781167,59.9,110860.0,,100.023,101.9,41.4,,1.64,Cuba,North America,8284,135,109884,11328609
Cyprus,10.46,EUR,1.33,1.9,80.8,Greek,1.95,35.126413,33.429859,12.2,9251.0,102.51,24.5646,99.3,75.9,24.5,7.27,Cyprus,Europe,10383,48,9251,1204820
Czech Republic,10.7,CZK,1.69,2.7,79.0,Czech,4.12,49.817492,15.472962,45.2,78867.0,116.48,246.4892,100.7,64.1,14.9,1.93,Czech Republic,Europe,0,0,78866,10693500
Denmark,10.6,DKK,1.73,3.6,81.0,Danish,4.01,56.26392,9.501785,62.0,43094.0,110.35,348.078,101.3,80.6,32.4,4.91,Denmark,Europe,79352,829,42933,5809654
Djibouti,21.47,DJF,2.73,49.8,66.6,French,0.22,11.825138,42.590275,73.4,23200.0,120.25,3.3187,75.3,5.3,,10.3,Djibouti,Africa,5679,61,23200,983842
Dominica,12.0,XCD,1.9,32.9,76.6,English,1.08,15.414999,-61.370976,33.3,751.0,103.87,0.596,114.7,7.2,22.1,,Dominica,North America,85,0,750,71934
Dominican Republic,19.51,DOP,2.35,24.1,73.9,Spanish,1.56,18.735693,-70.162651,48.7,48670.0,135.5,88.9413,105.7,59.9,13.0,5.84,Dominican Republic,North America,143988,2331,48442,10816488
Ecuador,19.72,USD,2.43,12.2,76.8,Spanish,2.04,-1.831239,-78.183406,22.2,283561.0,124.14,107.4357,103.3,44.9,,3.97,Ecuador,South America,192685,13461,283560,17565513
Egypt,26.38,EGP,3.33,18.1,71.8,Modern Standard Arabic,0.45,26.820553,30.802498,3.8,1001450.0,288.57,303.1751,106.3,35.2,12.5,10.76,Egypt,Africa,115911,6650,1002450,101775306
El Salvador,18.25,,2.04,11.8,73.1,Spanish,1.57,13.794185,-88.89653,76.4,21041.0,111.23,27.0226,94.8,29.4,18.1,4.11,El Salvador,Central America,38405,1114,21041,6476756
Equatorial Guinea,33.24,XAF,4.51,62.6,58.4,Spanish,0.4,1.650801,10.267895,10.1,28051.0,124.35,11.0268,61.8,1.9,6.1,6.43,Equatorial Guinea,Africa,5153,85,28050,1389590
Eritrea,30.3,ERN,4.06,31.3,65.9,Tigrinya,0.06,15.179384,39.782334,75.2,117600.0,,2.065,68.4,3.4,,5.14,Eritrea,Africa,577,0,117600,4950229
Estonia,10.9,EUR,1.59,2.1,78.2,Estonian,4.48,58.595272,25.013607,23.1,45228.0,122.14,31.3869,97.2,69.6,20.9,5.11,Estonia,Europe,12052,112,45227,1329366
Eswatini,,,,,,English,,-26.522503,31.465866,,17364.0,,3.7913,,,28.6,,Eswatini,Africa,0,0,17364,1129262
Ethiopia,32.34,ETB,4.25,39.1,66.2,Amharic,0.08,9.145,40.489673,36.3,1104300.0,143.86,96.1077,101.0,8.1,7.5,2.08,Ethiopia,Africa,110074,1706,1127127,114138109
Fiji,21.28,FJD,2.77,21.6,67.3,Fiji Hindi,0.84,-17.713371,178.065032,23.3,18274.0,132.3,5.5355,106.4,16.1,24.2,4.1,Fiji,Oceana,42,2,18333,894578
Finland,8.6,EUR,1.41,1.4,81.7,Swedish,3.81,61.92411,25.748151,7.5,338145.0,112.33,268.7612,100.2,88.2,20.8,6.59,Finland,Europe,24629,393,338440,5532318
France,11.3,EUR,1.88,3.4,82.5,French,3.27,46.227638,2.213749,52.4,643801.0,110.05,2715.5183,102.5,65.6,24.2,8.43,France,Europe,2179481,51965,643801,66196946
Gabon,31.61,XAF,3.97,32.7,66.2,French,0.68,-0.803689,11.609444,20.0,267667.0,122.19,16.658,139.9,8.3,10.2,20.0,Gabon,Africa,9191,59,267667,2210514
The Gambia,38.54,GMD,5.22,39.0,61.7,English,0.1,13.443182,-15.310139,59.8,11300.0,172.73,1.7638,98.0,2.7,9.4,9.06,Gambia,Africa,3742,123,11295,2396973
Georgia,13.47,GEL,2.06,8.7,73.6,Georgian,7.12,42.315407,43.356892,34.5,69700.0,133.61,17.7432,98.6,63.9,21.7,14.4,Georgia,Europe,135584,1267,153909,3853180
Germany,9.5,EUR,1.56,3.1,80.9,German,4.25,51.165691,10.451526,47.7,357022.0,112.85,3845.63,104.0,70.2,11.5,3.04,Germany,Europe,1053869,16248,357386,83514562
Ghana,29.41,GHS,3.87,34.9,63.8,English,0.14,7.946527,-1.023194,69.0,238533.0,268.36,66.9836,104.8,15.7,12.6,4.33,Ghana,Africa,51667,323,238535,31072478
Greece,8.1,EUR,1.35,3.6,81.3,Greek,5.48,39.074208,21.824312,47.6,131957.0,101.87,209.8528,99.6,136.6,26.2,17.24,Greece,Europe,104227,2321,131957,10559136
Grenada,16.47,XCD,2.06,13.7,72.4,English,1.41,12.1165,-61.679,23.5,349.0,107.43,1.2282,106.9,104.6,19.4,,Grenada,North America,41,0,344,112372
Guatemala,24.56,GTQ,2.87,22.1,74.1,Spanish,0.35,15.783471,-90.230759,36.0,108889.0,142.92,76.7104,101.9,21.8,10.6,2.46,Guatemala,North America,122062,4171,108889,17330925
Guinea,36.36,GNF,4.7,64.9,61.2,French,0.08,9.945587,-9.696645,59.0,245857.0,262.95,13.5903,91.5,11.6,10.8,4.3,Guinea,Africa,13097,76,245857,13029492
Guinea-Bissau,35.13,XOF,4.48,54.0,58.0,Portuguese,0.13,11.803749,-15.180413,58.0,36125.0,111.65,1.3404,118.7,2.6,10.3,2.47,Guinea-Bissau,Africa,2422,43,36125,1954523
Guyana,19.97,GYD,2.46,25.1,69.8,English,0.8,4.860416,-58.93018,8.6,214969.0,116.19,4.2804,97.8,11.6,,11.85,Guyana,South America,5376,150,214969,785457
Haiti,24.35,HTG,2.94,49.5,63.7,French,0.23,18.971187,-72.285215,66.8,27750.0,179.29,8.499,113.6,1.1,,13.78,Haiti,North America,9294,233,27750,11362356
Honduras,21.6,HNL,2.46,15.1,75.1,Spanish,0.31,15.199999,-86.241905,28.9,112090.0,150.34,25.0954,91.5,26.2,17.3,5.39,Honduras,Central America,107888,2909,112492,9859043
Hungary,9.6,HUF,1.54,3.6,75.8,Hungarian,3.41,47.162494,19.503304,58.4,93028.0,121.64,160.9672,100.8,48.5,23.0,3.4,Hungary,Europe,217122,4823,93030,9710048
Iceland,12.0,ISK,1.71,1.5,82.7,Icelandic,4.08,64.963051,-19.020835,18.7,103000.0,129.0,24.188,100.4,71.8,23.3,2.84,Iceland,Europe,5381,26,103000,351745
India,17.86,INR,2.22,29.9,69.4,Hindi,0.86,20.593684,78.96288,60.4,3287263.0,180.44,2611.0,113.0,28.1,11.2,5.36,India,Asia,9462809,137621,3287263,1376085842
Indonesia,18.07,IDR,2.31,21.1,71.5,Indonesian,0.43,-0.789275,113.921327,31.5,1904569.0,151.18,1119.1908,106.4,36.3,10.2,4.69,Indonesia,Asia,538883,16945,1904569,272477293
