country,continent,covid_cases,covid_deaths,land_area_km2,population
Sierra Leone,Africa,2412,74,71740,8047131
Singapore,Asia,58218,29,726,5869869
Slovakia,Europe,105733,816,49035,5460752
Slovenia,Europe,75381,927,20271,2079058
Solomon Islands,Oceana,17,0,28400,694217
Somalia,Africa,4451,113,637657,16087259
South Africa,Africa,790004,21535,12199912,59628390
South Sudan,Africa,3109,61,619745,11249761
Spain,Europe,1628208,44668,505990,46762381
Sri Lanka,Asia,23484,116,65610,21451157
Sudan,Africa,17810,1249,1886068,44294189
Suriname,South America,5312,117,163821,588867
Swaziland,Africa,0,0,17364,1165287
Sweden,Europe,243129,6681,450295,10125943
Switzerland,Europe,317017,4236,41285,8681478
Syria,Asia,0,0,185180,17685746
Taiwan,Asia,0,0,36193,23834918
Tajikistan,Asia,12155,86,143100,9630651
Tanzania,Africa,0,0,945087,60479818
Thailand,Asia,3998,60,513120,69873773
Togo,Africa,2946,64,56785,8363092
Tonga,Oceana,0,0,747,106206
Trinidad And Tobago,North America,0,0,0,0
Tunisia,Africa,96769,3260,0,0
Turkey,Asia,494351,13558,783562,84726208
Turkmenistan,Asia,0,0,491210,6069243
Tuvalu,Oceana,0,0,26,11854
Uganda,Africa,20459,205,241037,46377077
Ukraine,Europe,732625,12327,603628,43624462
United Arab Emirates,Asia,168860,572,83600,9941469
United Kingdom,Europe,0,0,242495,68036854
United States,North America,0,0,9834000,331825014
Uruguay,South America,5716,76,176215,3478809
Uzbekistan,Asia,72920,608,448978,33677231
Vanuatu,Oceana,1,0,12189,310265
Venezuela,South America,0,0,916445,28402272
Vietnam,Asia,0,0,331212,97702766
Yemen,Asia,2081,606,527968,30110883
Zambia,Africa,17647,357,752618,18609335
Zimbabwe,Africa,10034,277,390757,14955711
