country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_USD(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,population,tax_revenue_pct,unemployment_rt
Brunei,14.9,BND,1.85,9.8,75.7,Malay,1.61,4.535277,114.727669,2.7,5765.0,99.03,13.4694,103.2,31.4,433285.0,,9.12
Bulgaria,8.9,BGN,1.56,5.9,74.9,Bulgarian,4.03,42.733883,25.48583,46.3,110879.0,114.42,86.0,89.3,71.0,6975761.0,20.2,4.34
Burkina Faso,37.93,XOF,5.19,49.0,61.2,French,0.08,12.238333,-1.561593,44.2,274200.0,106.58,15.7458,96.1,6.5,20321378.0,15.0,6.26
Burundi,39.01,BIF,5.41,41.0,61.2,Kirundi,0.1,-3.373056,29.918886,79.2,27830.0,182.11,3.0123,121.4,6.1,11530580.0,13.6,1.43
Ivory Coast,35.74,XOF,4.65,59.4,57.4,French,0.23,7.539989,-5.54708,64.8,322463.0,111.61,58.7922,99.8,9.3,25716544.0,11.8,3.32
Cape Verde,19.49,CVE,2.27,16.7,72.8,Portuguese,0.77,16.5388,-23.0418,19.6,4033.0,110.5,1.9818,104.0,23.6,483628.0,20.1,12.25
Cambodia,22.46,,2.5,24.0,69.6,Khmer language,0.17,12.565679,104.990963,30.9,181035.0,127.63,27.0894,107.4,13.7,16486542.0,17.1,0.68
Cameroon,35.39,XAF,4.57,50.6,58.9,French,0.09,7.369722,12.354722,20.6,475440.0,118.65,38.7605,103.4,12.8,25876380.0,12.8,3.38
Canada,10.1,CAD,1.5,4.3,81.9,French,2.61,56.130366,-106.346771,6.9,9984670.0,116.76,1736.4256,100.9,68.9,36991981.0,12.8,5.56
Central African Republic,35.35,,4.72,84.5,52.8,French,0.06,6.611111,20.939444,8.2,622984.0,186.86,2.2203,102.0,3.0,4745185.0,8.6,3.68
Chad,42.17,XAF,5.75,71.4,54.0,French,0.04,15.454166,18.732207,39.7,1284000.0,117.7,11.315,86.8,3.3,15946876.0,,1.89
Chile,12.43,CLP,1.65,6.2,80.0,Spanish,2.59,-35.675147,-71.542969,21.2,756096.0,131.91,282.3182,101.4,88.5,18952038.0,18.2,7.09
China,10.9,CNY,1.69,7.4,77.0,Standard Chinese,1.98,35.86166,104.195397,56.2,9596960.0,125.08,19910.0,100.2,50.6,1397715000.0,9.4,4.32
Colombia,14.88,COP,1.81,12.2,77.1,Spanish,2.18,4.570868,-74.297333,40.3,1138910.0,140.95,323.8028,114.5,55.3,50339443.0,14.4,9.71
Comoros,31.88,KMF,4.21,51.3,64.1,French,0.27,-11.6455,43.3333,71.5,2235.0,103.62,1.1857,99.5,9.0,850886.0,,4.34
Republic of the Congo,32.86,XAF,4.43,36.2,64.3,French,0.12,-0.228021,15.827659,31.1,342000.0,124.74,10.8206,106.6,12.7,5380508.0,9.0,9.47
Costa Rica,13.97,CRC,1.75,7.6,80.1,Spanish,2.89,9.748917,-83.753428,34.5,51100.0,128.85,61.7739,113.3,55.2,5047561.0,13.6,11.85
Croatia,9.0,HRK,1.47,4.0,78.1,Croatian,3.0,45.1,15.2,27.6,56594.0,109.82,60.4156,96.5,67.9,4067500.0,22.0,6.93
Cuba,10.17,CUP,1.62,3.7,78.7,Spanish,8.42,21.521757,-77.781167,59.9,110860.0,,100.023,101.9,41.4,11333483.0,,1.64
Cyprus,10.46,EUR,1.33,1.9,80.8,Greek,1.95,35.126413,33.429859,12.2,9251.0,102.51,24.5646,99.3,75.9,1198575.0,24.5,7.27
Czech Republic,10.7,CZK,1.69,2.7,79.0,Czech,4.12,49.817492,15.472962,45.2,78867.0,116.48,246.4892,100.7,64.1,10669709.0,14.9,1.93
Democratic Republic of the Congo,41.18,CDF,5.92,68.2,60.4,French,0.07,-4.038333,21.758664,11.6,2344858.0,133.85,47.3196,108.0,6.6,86790567.0,10.7,4.24
Denmark,10.6,DKK,1.73,3.6,81.0,Danish,4.01,56.26392,9.501785,62.0,43094.0,110.35,348.078,101.3,80.6,5818553.0,32.4,4.91
Djibouti,21.47,DJF,2.73,49.8,66.6,French,0.22,11.825138,42.590275,73.4,23200.0,120.25,3.3187,75.3,5.3,973560.0,,10.3
Dominica,12.0,XCD,1.9,32.9,76.6,English,1.08,15.414999,-61.370976,33.3,751.0,103.87,0.596,114.7,7.2,71808.0,22.1,
Dominican Republic,19.51,DOP,2.35,24.1,73.9,Spanish,1.56,18.735693,-70.162651,48.7,48670.0,135.5,88.9413,105.7,59.9,10738958.0,13.0,5.84
Ecuador,19.72,USD,2.43,12.2,76.8,Spanish,2.04,-1.831239,-78.183406,22.2,283561.0,124.14,107.4357,103.3,44.9,17373662.0,,3.97
Egypt,26.38,EGP,3.33,18.1,71.8,Modern Standard Arabic,0.45,26.820553,30.802498,3.8,1001450.0,288.57,303.1751,106.3,35.2,100388073.0,12.5,10.76
El Salvador,18.25,,2.04,11.8,73.1,Spanish,1.57,13.794185,-88.89653,76.4,21041.0,111.23,27.0226,94.8,29.4,6453553.0,18.1,4.11
Equatorial Guinea,33.24,XAF,4.51,62.6,58.4,Spanish,0.4,1.650801,10.267895,10.1,28051.0,124.35,11.0268,61.8,1.9,1355986.0,6.1,6.43
Eritrea,30.3,ERN,4.06,31.3,65.9,Tigrinya,0.06,15.179384,39.782334,75.2,117600.0,,2.065,68.4,3.4,6333135.0,,5.14
Estonia,10.9,EUR,1.59,2.1,78.2,Estonian,4.48,58.595272,25.013607,23.1,45228.0,122.14,31.3869,97.2,69.6,1331824.0,20.9,5.11
Eswatini,,,,,,English,,-26.522503,31.465866,,17364.0,,3.7913,,,1093238.0,28.6,
Ethiopia,32.34,ETB,4.25,39.1,66.2,Amharic,0.08,9.145,40.489673,36.3,1104300.0,143.86,96.1077,101.0,8.1,112078730.0,7.5,2.08
Fiji,21.28,FJD,2.77,21.6,67.3,Fiji Hindi,0.84,-17.713371,178.065032,23.3,18274.0,132.3,5.5355,106.4,16.1,889953.0,24.2,4.1
Finland,8.6,EUR,1.41,1.4,81.7,Swedish,3.81,61.92411,25.748151,7.5,338145.0,112.33,268.7612,100.2,88.2,5520314.0,20.8,6.59
France,11.3,EUR,1.88,3.4,82.5,French,3.27,46.227638,2.213749,52.4,643801.0,110.05,2715.5183,102.5,65.6,67059887.0,24.2,8.43
Gabon,31.61,XAF,3.97,32.7,66.2,French,0.68,-0.803689,11.609444,20.0,267667.0,122.19,16.658,139.9,8.3,2172579.0,10.2,20.0
The Gambia,38.54,GMD,5.22,39.0,61.7,English,0.1,13.443182,-15.310139,59.8,11300.0,172.73,1.7638,98.0,2.7,2347706.0,9.4,9.06
Georgia,13.47,GEL,2.06,8.7,73.6,Georgian,7.12,42.315407,43.356892,34.5,69700.0,133.61,17.7432,98.6,63.9,3720382.0,21.7,14.4
Germany,9.5,EUR,1.56,3.1,80.9,German,4.25,51.165691,10.451526,47.7,357022.0,112.85,3845.63,104.0,70.2,83132799.0,11.5,3.04
Ghana,29.41,GHS,3.87,34.9,63.8,English,0.14,7.946527,-1.023194,69.0,238533.0,268.36,66.9836,104.8,15.7,30792608.0,12.6,4.33
Greece,8.1,EUR,1.35,3.6,81.3,Greek,5.48,39.074208,21.824312,47.6,131957.0,101.87,209.8528,99.6,136.6,10716322.0,26.2,17.24
Grenada,16.47,XCD,2.06,13.7,72.4,English,1.41,12.1165,-61.679,23.5,349.0,107.43,1.2282,106.9,104.6,112003.0,19.4,
Guatemala,24.56,GTQ,2.87,22.1,74.1,Spanish,0.35,15.783471,-90.230759,36.0,108889.0,142.92,76.7104,101.9,21.8,16604026.0,10.6,2.46
Guinea,36.36,GNF,4.7,64.9,61.2,French,0.08,9.945587,-9.696645,59.0,245857.0,262.95,13.5903,91.5,11.6,12771246.0,10.8,4.3
Guinea-Bissau,35.13,XOF,4.48,54.0,58.0,Portuguese,0.13,11.803749,-15.180413,58.0,36125.0,111.65,1.3404,118.7,2.6,1920922.0,10.3,2.47
Guyana,19.97,GYD,2.46,25.1,69.8,English,0.8,4.860416,-58.93018,8.6,214969.0,116.19,4.2804,97.8,11.6,782766.0,,11.85
Haiti,24.35,HTG,2.94,49.5,63.7,French,0.23,18.971187,-72.285215,66.8,27750.0,179.29,8.499,113.6,1.1,11263077.0,,13.78
Vatican City,,EUR,,,,Italian,,41.902916,12.453389,,0.0,,,,,836.0,,
Honduras,21.6,HNL,2.46,15.1,75.1,Spanish,0.31,15.199999,-86.241905,28.9,112090.0,150.34,25.0954,91.5,26.2,9746117.0,17.3,5.39
Hungary,9.6,HUF,1.54,3.6,75.8,Hungarian,3.41,47.162494,19.503304,58.4,93028.0,121.64,160.9672,100.8,48.5,9769949.0,23.0,3.4
Iceland,12.0,ISK,1.71,1.5,82.7,Icelandic,4.08,64.963051,-19.020835,18.7,103000.0,129.0,24.188,100.4,71.8,361313.0,23.3,2.84
India,17.86,INR,2.22,29.9,69.4,Hindi,0.86,20.593684,78.96288,60.4,3287263.0,180.44,2611.0,113.0,28.1,1366417754.0,11.2,5.36
Indonesia,18.07,IDR,2.31,21.1,71.5,Indonesian,0.43,-0.789275,113.921327,31.5,1904569.0,151.18,1119.1908,106.4,36.3,270203917.0,10.2,4.69
Iran,18.78,IRR,2.14,12.4,76.5,Persian,1.58,32.427908,53.688046,28.2,1648195.0,550.93,445.3453,110.7,68.1,82913906.0,7.4,11.38
Iraq,29.08,IQD,3.67,22.5,70.5,Arabic,0.71,33.223191,43.679291,21.4,438317.0,119.86,234.094,108.7,16.2,39309783.0,2.0,12.82
Republic of Ireland,12.5,EUR,1.75,3.1,82.3,Irish,3.31,53.41291,-8.24389,64.5,70273.0,106.58,388.6987,100.9,77.8,5007069.0,18.3,4.93
Israel,20.8,ILS,3.09,3.0,82.8,Hebrew,4.62,31.046051,34.851612,24.6,20770.0,108.15,395.0987,104.9,63.4,9053300.0,23.1,3.86
Italy,7.3,EUR,1.29,2.6,82.9,Italian,3.98,41.87194,12.56738,43.2,301340.0,110.62,2001.2444,101.9,61.9,60297396.0,24.3,9.89
Jamaica,16.1,JMD,1.98,12.4,74.4,Jamaican English,1.31,18.109581,-77.297508,41.0,10991.0,162.47,16.4581,91.0,27.1,2948279.0,26.8,8.0
Japan,7.4,,1.42,1.8,84.2,,2.41,36.204824,138.252924,12.3,377944.0,105.48,5081.7695,98.8,63.2,126226568.0,11.9,2.29
Jordan,21.98,JOD,2.76,13.9,74.4,Arabic,2.32,30.585164,36.238414,12.0,89342.0,125.6,43.7437,81.5,34.4,10101694.0,15.1,14.72
Kazakhstan,21.77,KZT,2.84,8.8,73.2,Russian,3.25,48.019573,66.923684,80.4,2724900.0,182.75,180.1617,104.4,61.7,18513930.0,11.7,4.59
Kenya,28.75,KES,3.49,30.6,66.3,Swahili,0.16,-0.023559,37.906193,48.5,580367.0,180.51,95.5031,103.2,11.5,52573973.0,15.1,2.64
Kiribati,27.89,AUD,3.57,41.2,68.1,English,0.2,1.8368976,-157.3768317,42.0,811.0,99.55,0.1946,101.3,,117606.0,22.0,
Kuwait,13.94,KWD,2.08,6.7,75.4,Modern Standard Arabic,2.58,29.31166,47.481766,8.4,17818.0,126.6,134.7612,92.4,54.4,4207083.0,1.4,2.18
Kyrgyzstan,27.1,KGS,3.3,16.9,71.4,Russian,1.88,41.20438,74.766098,55.0,199951.0,155.68,8.4546,107.6,41.3,6456900.0,18.0,6.33
Laos,23.55,LAK,2.67,37.6,67.6,Lao,0.37,19.85627,102.495496,10.3,236800.0,135.87,18.1738,102.4,15.0,7169455.0,12.9,0.63
Latvia,10.0,EUR,1.6,3.3,74.7,Latvian,3.19,56.879635,24.603189,31.1,64589.0,116.86,34.1172,99.4,88.1,1912789.0,22.9,6.52
Lebanon,17.55,LBP,2.09,6.4,78.9,Arabic,2.1,33.854721,35.862285,64.3,10400.0,130.02,53.367,95.1,26.3,6855713.0,15.3,6.23
Lesotho,26.81,,3.14,65.7,53.7,English,0.07,-29.609988,28.233608,77.6,30355.0,155.86,2.4601,120.9,10.2,2125268.0,31.6,23.41
Liberia,33.04,,4.32,53.5,63.7,English,0.04,6.428055,-9.429499,28.0,111369.0,223.13,3.0705,85.1,11.9,4937374.0,12.9,2.81
Libya,18.83,LYD,2.24,10.2,72.7,Arabic,2.09,26.3351,17.228331,8.7,1759540.0,125.71,52.0763,109.0,60.5,6777452.0,,18.56
Liechtenstein,9.9,CHF,1.44,,83.0,German,,47.1410392,9.520935,32.2,160.0,,6.5529,104.7,35.6,38019.0,,
Lithuania,10.0,EUR,1.63,3.3,75.7,Lithuanian,6.35,55.169438,23.881275,47.2,65300.0,118.38,54.2193,103.9,72.4,2786844.0,16.9,6.35
Luxembourg,10.3,EUR,1.37,1.9,82.1,Luxembourgish,3.01,49.815273,6.129583,53.7,2586.0,115.09,71.1049,102.3,19.2,645397.0,26.5,5.36
Madagascar,32.66,MGA,4.08,38.2,66.7,French,0.18,-18.766947,46.869107,71.2,587041.0,184.33,14.0839,142.5,5.4,26969307.0,10.2,1.76
Malawi,34.12,MWK,4.21,35.3,63.8,English,0.04,-13.254308,34.301525,61.4,118484.0,418.34,7.6667,142.5,0.8,18628747.0,17.3,5.65
Malaysia,16.75,MYR,2.0,6.7,76.0,Malaysian language,1.51,4.210484,101.975766,26.3,329847.0,121.46,364.7015,105.3,45.1,32447385.0,12.0,3.32
Maldives,14.2,,1.87,7.4,78.6,Divehi,4.56,3.202778,73.22068,26.3,298.0,99.7,5.7292,97.1,31.2,530953.0,19.5,6.14
Mali,41.54,XOF,5.88,62.0,58.9,French,0.13,17.570692,-3.996166,33.8,1240192.0,108.73,17.5101,75.6,4.5,19658031.0,11.6,7.22
Malta,9.2,EUR,1.23,6.1,82.3,Maltese,2.86,35.937496,14.375416,32.4,316.0,113.45,14.7862,105.0,54.3,502653.0,26.2,3.47
Marshall Islands,29.03,USD,4.05,27.4,65.2,Marshallese,0.42,7.131474,171.184478,63.9,181.0,,0.2213,84.7,23.7,58791.0,17.8,
Mauritania,33.69,MRU,4.56,51.5,64.7,Arabic,0.19,21.00789,-10.940835,38.5,1030700.0,135.02,7.5938,99.9,5.0,4525696.0,,9.55
Mauritius,10.2,MUR,1.41,13.6,74.4,French,2.53,-20.348404,57.552152,42.4,2040.0,129.91,14.1804,101.1,40.6,1265711.0,19.1,6.67
Mexico,17.6,MXN,2.13,11.0,75.0,,2.38,23.634501,-102.552784,54.6,1964375.0,141.54,1258.2867,105.8,40.2,126014024.0,13.1,3.42
Federated States of Micronesia,22.82,USD,3.05,25.6,67.8,English,0.18,7.425554,150.550812,31.4,702.0,112.1,0.4019,97.2,14.1,113815.0,25.2,
Moldova,10.1,MDL,1.26,13.6,71.8,Romanian,3.21,47.411631,28.369885,74.2,33851.0,166.2,11.9554,90.6,39.8,2657637.0,17.7,5.47
Monaco,5.9,EUR,,2.6,,French,6.56,43.7384176,7.4246158,,2.0,,7.1848,,,38964.0,,
Mongolia,24.13,MNT,2.9,14.0,69.7,Mongolian,2.86,46.862496,103.846656,71.5,1564116.0,195.76,13.8529,104.0,65.6,3225167.0,16.8,6.01
Montenegro,11.73,EUR,1.75,2.3,76.8,Montenegrin language,2.76,42.708678,19.37439,19.0,13812.0,116.32,5.4947,100.0,56.1,622137.0,,14.88
Morocco,18.94,MAD,2.42,19.2,76.5,Arabic,0.73,31.791702,-7.09262,68.5,446550.0,111.07,118.7253,113.9,35.9,36910560.0,21.9,9.02
Mozambique,37.52,MZN,4.85,54.0,60.2,Portuguese,0.08,-18.665695,35.529562,63.5,799380.0,182.31,14.9342,112.6,7.3,30366036.0,0.0,3.24
Myanmar,17.55,MMK,2.15,36.8,66.9,Burmese,0.68,21.916221,95.955974,19.5,676578.0,168.18,76.0859,112.3,18.8,54045420.0,5.4,1.58
Namibia,28.64,,3.4,29.0,63.4,English,0.42,-22.95764,18.49041,47.1,824292.0,157.97,12.3665,124.2,22.9,2494530.0,27.1,20.27
Nauru,,AUD,,,,English,,-0.522778,166.931503,,21.0,,0.133,,,10084.0,,
Nepal,19.89,NPR,1.92,26.7,70.5,Nepali,0.75,28.394857,84.124008,28.7,147181.0,188.73,30.6414,142.1,12.4,28608710.0,20.7,1.41
Netherlands,9.7,,1.59,3.3,81.8,Dutch,3.61,52.132633,5.291266,53.3,41543.0,115.91,909.0704,104.2,85.0,17332850.0,23.0,3.2
New Zealand,11.98,NZD,1.71,4.7,81.9,English,3.59,-40.900557,174.885971,40.5,268838.0,114.24,206.9288,100.0,82.0,4841000.0,29.0,4.07
Nicaragua,20.64,NIO,2.4,15.7,74.3,Spanish,0.98,12.865416,-85.207229,42.1,130370.0,162.74,12.5209,120.6,17.4,6545502.0,15.6,6.84
Niger,46.08,XOF,6.91,48.0,62.0,French,0.04,17.607789,8.081666,36.1,1267000.0,109.32,12.9281,74.7,4.4,23310715.0,11.8,0.47
Nigeria,37.91,NGN,5.39,75.7,54.3,English,0.38,9.081999,8.675277,77.7,923768.0,267.51,448.1204,84.7,10.2,200963599.0,1.5,8.1
North Korea,13.89,KPW,1.9,13.7,72.1,Korean,3.67,40.339852,127.510093,21.8,120538.0,,32.1,112.8,27.0,25666161.0,,2.74
North Macedonia,,MKD,,,,Macedonian,,41.608635,21.745275,,25713.0,,10.2208,,,1836713.0,,
Norway,10.4,NOK,1.56,2.1,82.8,Norwegian,2.92,60.472024,8.468946,2.7,323802.0,120.27,403.3364,100.3,82.0,5347896.0,23.9,3.35
Oman,19.19,OMR,2.89,9.8,77.6,Arabic,2.0,21.4735329,55.975413,4.6,309500.0,113.53,76.9831,103.4,38.0,5266535.0,2.5,2.67
Pakistan,28.25,PKR,3.51,57.2,67.1,Urdu,0.98,30.375321,69.345116,47.8,796095.0,182.32,304.4,94.3,9.0,216565318.0,9.2,4.45
Palau,14.0,USD,2.21,16.6,69.1,English,1.18,7.51498,134.58252,10.9,459.0,118.17,0.284,112.6,54.7,18233.0,21.3,
Palestinian National Authority,,,,,,Arabic,,31.952162,35.233154,,,,,,,,,
Panama,18.98,,2.46,13.1,78.3,Spanish,1.57,8.537981,-80.782127,30.4,75420.0,122.07,66.8008,94.4,47.8,4246439.0,,3.9
Papua New Guinea,27.07,PGK,3.56,38.0,64.3,Tok Pisin,0.07,-6.314993,143.95555,2.6,462840.0,155.99,24.9696,108.5,1.8,8776109.0,13.6,2.46
Paraguay,20.57,PYG,2.43,17.2,74.1,Spanish,1.35,-23.442503,-58.443832,55.1,406752.0,143.82,38.1453,104.4,34.6,7044636.0,10.0,4.81
Peru,17.95,PEN,2.25,11.1,76.5,Spanish,1.27,-9.189967,-75.015152,18.5,1285216.0,129.78,226.8481,106.9,70.7,32510453.0,14.3,3.31
Philippines,20.55,PHP,2.58,22.5,71.1,English,0.6,12.879721,121.774017,41.7,300000.0,129.61,376.7955,107.5,35.5,108116615.0,14.0,2.15
Poland,10.2,PLN,1.46,3.8,77.6,Polish,2.38,51.919438,19.145136,46.9,312685.0,114.11,592.1644,100.0,67.8,37970874.0,17.4,3.47
Portugal,8.5,EUR,1.38,3.1,81.3,Portuguese,5.12,39.399872,-8.224454,39.5,92212.0,110.62,237.6861,106.2,63.9,10269417.0,22.8,6.33
Qatar,9.54,QAR,1.87,5.8,80.1,Arabic,2.49,25.354826,51.183884,5.8,11586.0,115.38,183.4662,103.8,17.9,2832067.0,14.7,0.09
Romania,9.6,RON,1.71,6.1,75.4,Romanian,2.98,45.943161,24.96676,58.8,238391.0,123.78,250.0774,85.2,49.4,19356544.0,14.6,3.98
Russia,11.5,RUB,1.57,6.1,72.7,Russian,4.01,61.52401,105.318756,13.3,17098240.0,180.75,1699.8766,102.6,81.9,144373535.0,11.4,4.59
Rwanda,31.7,RWF,4.04,27.0,68.7,Swahili,0.13,-1.940278,29.873888,73.4,26338.0,151.09,10.1225,133.0,6.7,12626950.0,14.3,1.03
Saint Kitts and Nevis,12.6,XCD,2.11,9.8,71.3,English,2.52,17.357822,-62.782998,23.1,261.0,104.57,1.051,108.7,86.7,52823.0,18.5,
Saint Lucia,12.0,XCD,1.44,14.9,76.1,English,0.64,13.909444,-60.978893,17.4,616.0,110.13,2.1225,102.6,14.1,182790.0,18.2,20.71
Saint Vincent and the Grenadines,14.24,XCD,1.89,14.8,72.4,English,0.66,12.984305,-61.287228,25.6,389.0,109.67,0.8254,113.4,23.7,100455.0,25.4,18.88
Samoa,24.38,WST,3.88,13.6,73.2,Samoan,0.34,-13.759029,-172.104629,12.4,2831.0,117.56,0.8507,110.5,7.6,202506.0,25.5,8.36
San Marino,6.8,EUR,1.26,1.7,85.4,Italian,6.11,43.94236,12.457777,16.7,61.0,110.63,1.6379,108.1,42.5,33860.0,18.1,
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,31.54,STN,4.32,24.4,70.2,,0.05,,,50.7,964.0,185.09,0.429,106.8,13.4,215056.0,14.6,13.37
Saudi Arabia,17.8,SAR,2.32,6.0,75.0,Arabic,2.61,23.885942,45.079162,80.8,2149690.0,118.4,792.9668,99.8,68.0,34268528.0,8.9,5.93
Senegal,34.52,XOF,4.63,31.8,67.7,French,0.07,14.497401,-14.452362,46.1,196722.0,109.25,23.5781,81.0,12.8,16296364.0,16.3,6.6
Serbia,9.2,RSD,1.49,4.8,75.5,Serbian,3.11,44.016521,21.005859,39.3,77474.0,144.0,51.4092,100.3,67.2,6944975.0,18.6,12.69
Seychelles,17.1,SCR,2.41,12.4,72.8,French,0.95,-4.679574,55.491977,3.4,455.0,129.96,1.6988,100.4,17.1,97625.0,34.1,
Sierra Leone,33.41,SLL,4.26,78.5,54.3,English,0.03,8.460555,-11.779889,54.7,71740.0,234.16,3.9415,112.8,2.0,7813215.0,8.6,4.43
Singapore,8.8,SGD,1.14,2.3,83.1,Malay,2.29,1.352083,103.819836,0.9,716.0,114.41,372.0625,100.6,84.8,5703569.0,13.1,4.11
Slovakia,10.6,EUR,1.52,4.6,77.2,Slovak,3.42,48.669026,19.699024,39.2,49035.0,115.34,105.4223,98.7,46.6,5454073.0,18.7,5.56
Slovenia,9.4,EUR,1.6,1.7,81.0,Slovene language,3.09,46.151241,14.995463,30.7,20273.0,111.05,53.7422,100.4,78.6,2087946.0,18.6,4.2
Solomon Islands,32.44,SBD,4.4,17.1,72.8,English,0.19,-9.64571,160.156194,3.9,28896.0,133.06,1.4251,106.2,,669823.0,29.5,0.58
Somalia,41.75,SOS,6.07,76.6,57.1,Arabic,0.02,5.152149,46.199616,70.3,637657.0,,4.7207,23.4,2.5,15442905.0,0.0,11.35
South Africa,20.51,ZAR,2.41,28.5,63.9,Afrikaans,0.91,-30.559482,22.937506,79.8,1219090.0,158.93,351.4316,100.9,22.4,58558270.0,27.5,28.18
South Korea,6.4,KRW,0.98,2.7,82.6,Korean,2.36,35.907757,127.766922,17.4,99720.0,115.16,2029.0,98.1,94.3,51709098.0,15.6,4.15
South Sudan,35.01,SSP,4.7,63.7,57.6,English,,6.8769919,31.3069788,,644329.0,4583.71,11.9978,73.0,,11062113.0,,12.24
Spain,7.9,EUR,1.26,2.5,83.3,Spanish,3.87,40.463667,-3.74922,52.6,505370.0,110.96,1394.1163,102.7,88.9,47076781.0,14.2,13.96
Sri Lanka,15.83,LKR,2.2,6.4,76.8,Tamil,1.0,7.873054,80.771797,43.7,65610.0,155.53,84.0088,100.2,19.6,21803000.0,11.9,4.2
